f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24
19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25
28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23
19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23
19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22
17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22
22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25
13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23
13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19
14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32
13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23
11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22
1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25
26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23
13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25
6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30
8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22
28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23
23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24
13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31
23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19
11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
13,3,4,3,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31
14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24
28,3,6,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
14,3,6,3,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32
28,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24
28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25
23,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24
28,4,3,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25
13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23
23,4,5,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25
28,4,6,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24
28,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23
13,4,4,3,179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31
23,4,5,3,118,13,18,50,326.452,96,0,1,1,1,0,0,98,178,31
23,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25
14,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23
28,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25
28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32
19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23
19,4,3,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30
12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25
19,4,4,3,378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21
13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30
7,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29
0,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33
13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30
28,5,5,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25
28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25
18,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31
19,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24
7,5,4,3,184,42,7,27,378.884,92,0,1,0,0,0,0,58,167,21
28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25
12,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31
13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30
0,5,4,3,279,5,14,39,378.884,92,1,1,2,1,1,0,68,168,24
0,5,4,3,330,16,4,28,378.884,92,1,2,0,0,0,0,84,182,25
0,5,4,3,378,49,11,36,378.884,92,1,1,2,0,1,4,65,174,21
0,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24
11,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31
13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31
22,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27
19,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23
22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27
10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23
23,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25
10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23
11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31
23,6,2,3,155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25
10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23
13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31
13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29
23,6,3,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31
13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31
22,6,5,3,378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21
11,6,6,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31
28,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36
28,6,5,1,225,26,9,28,377.55,94,0,1,1,0,0,2,69,169,24
19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25
1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31
5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28
26,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28
26,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25
18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19
25,7,6,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25
1,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25
1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25
25,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22
22,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27
26,7,4,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30
26,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31
19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30
19,7,5,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30
0,7,5,1,260,50,11,36,275.312,98,1,1,4,1,0,0,65,168,23
19,8,6,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30
19,8,6,1,157,27,6,29,265.615,94,0,1,0,1,1,0,75,185,22
23,8,2,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30
18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22
13,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25
14,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25
28,8,6,1,260,50,11,36,265.615,94,0,1,4,1,0,0,65,168,23
23,8,3,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30
23,8,4,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32
11,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25
23,8,5,1,179,26,9,30,265.615,94,0,3,0,0,0,0,56,171,19
13,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31
25,8,2,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32
23,8,3,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29
23,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31
19,8,5,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29
8,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27
6,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21
11,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31
23,9,6,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31
19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30
0,9,5,1,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38
9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23
28,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25
0,9,3,1,231,35,14,39,294.217,81,1,1,2,1,0,2,100,170,35
0,9,3,1,291,50,12,32,294.217,81,1,1,0,1,0,0,65,169,23
13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31
9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23
23,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31
28,9,6,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25
28,9,6,1,260,50,11,36,294.217,81,0,1,4,1,0,0,65,168,23
26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38
28,9,5,4,118,13,18,50,294.217,81,0,1,1,1,0,0,98,178,31
0,9,5,4,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38
28,9,6,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25
7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25
13,9,2,4,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31
24,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30
26,10,2,4,235,11,14,37,265.017,88,0,3,1,0,0,1,88,172,29
26,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30
22,10,6,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30
0,10,6,4,118,13,18,50,265.017,88,1,1,1,1,0,0,98,178,31
0,10,6,4,248,25,14,47,265.017,88,1,1,2,0,0,1,86,165,32
1,10,2,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19
7,10,2,4,118,10,10,37,265.017,88,0,1,0,0,0,0,83,172,28
22,10,2,4,369,17,12,31,265.017,88,0,1,3,1,0,0,70,169,25
28,10,4,4,179,51,18,38,265.017,88,0,1,0,1,0,0,89,170,31
1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19
0,10,4,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38
19,10,5,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30
28,10,6,4,260,50,11,36,265.017,88,0,1,4,1,0,0,65,168,23
0,10,6,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38
23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38
23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38
28,10,3,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31
28,10,3,4,291,31,12,40,265.017,88,0,1,1,1,0,1,73,171,25
23,10,5,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19
28,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31
10,10,2,4,361,52,3,28,265.017,88,0,1,1,1,0,4,80,172,27
0,10,3,4,260,50,11,36,265.017,88,1,1,4,1,0,0,65,168,23
0,10,3,4,291,31,12,40,265.017,88,1,1,1,1,0,1,73,171,25
0,10,3,4,157,27,6,29,265.017,88,1,1,0,1,1,0,75,185,22
1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19
7,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19
23,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31
11,11,2,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28
23,11,2,4,248,25,14,47,284.031,97,0,1,2,0,0,1,86,165,32
6,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31
28,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23
23,11,2,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25
1,11,2,4,378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21
11,11,2,4,155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25
26,11,2,4,235,20,13,43,284.031,97,0,1,1,1,0,0,106,167,38
0,11,3,4,330,16,4,28,284.031,97,1,2,0,0,0,0,84,182,25
18,11,4,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29
11,11,4,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28
25,11,5,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29
28,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31
13,11,6,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23
12,11,6,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25
13,11,2,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23
28,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31
10,11,4,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23
15,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23
0,11,6,4,378,49,11,36,284.031,97,1,1,2,0,1,4,65,174,21
0,11,3,4,279,5,14,39,284.031,97,1,1,2,1,1,0,68,168,24
23,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31
12,12,2,4,225,26,9,28,236.629,93,0,1,1,0,0,2,69,169,24
28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31
28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31
23,12,2,4,235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29
28,12,3,4,118,13,18,50,236.629,93,0,1,1,1,0,0,98,178,31
28,12,6,4,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23
4,12,5,4,246,25,16,41,236.629,93,0,1,0,1,0,0,67,170,23
28,12,5,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31
