f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
M33,F,28,11,0.5,2.5,2.5,1.2,1.8,3.6,3.7,4.5,4.2,3.4,0.3,,,,,,,,,,,,,,,,,,
M33,F,3,4,0.5,1.2,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
M33,F,20,9,0.4,2.7,4.3,2.6,1.5,4,3.1,1.6,0.2,,,,,,,,,,,,,,,,,,,,
M33,F,20,7,0.3,1.7,4.8,6.2,4.3,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,
M33,F,8,7,0.5,1,2.5,1.1,1.2,1.3,0.4,,,,,,,,,,,,,,,,,,,,,,
M33,F,25,9,0.4,1.7,3.5,5.3,6,3.8,2.2,2.2,0.3,,,,,,,,,,,,,,,,,,,,
M33,F,12,6,0.3,2.1,3.5,3.4,2.3,0.5,,,,,,,,,,,,,,,,,,,,,,,
M33,F,32,12,0.2,1.1,1.4,0.8,1.5,3.3,4.4,5.4,6.2,6.4,1.2,0.3,,,,,,,,,,,,,,,,,
M33,F,8,5,0.6,2,3.1,1.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,
M33,F,39,13,0.5,1,2.2,3.2,2.8,3.6,4,4,4.2,6.2,5.9,1.2,0.2,,,,,,,,,,,,,,,,
M33,F,7,5,0.3,2,2.7,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
M33,F,57.5,12,0.5,2.1,5,7.5,8.8,8.2,8.6,6.8,4.7,3.3,1.6,0.4,,,,,,,,,,,,,,,,,
M33,F,28,9,0.3,1.8,3.2,4.6,4.3,5.3,4.2,3.3,0.6,,,,,,,,,,,,,,,,,,,,
M33,F,17,8,0.4,1.2,0.7,1.7,3.2,4.5,4.1,1.5,,,,,,,,,,,,,,,,,,,,,
M33,F,10.5,6,0.5,2.1,3,2.4,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,
M33,F,2,4,0.3,0.8,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
M33,F,18,8,0.5,1.8,2.6,3.1,4.2,3.5,2.2,0.5,,,,,,,,,,,,,,,,,,,,,
M33,F,4,5,0.2,1,1.2,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
M33,F,53,11,0.3,1.3,4.1,7.2,8.4,7.7,6.4,6.7,6.1,3.6,1.2,,,,,,,,,,,,,,,,,,
M33,F,6,6,0.5,0.8,1,1.4,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,
O20,A,1,2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,1.5,3,0.7,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,11,5,1.2,2,3.1,3.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,1,2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,1,3,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,1,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,2,3,0.7,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,2,3,1,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,2,3,0.7,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,24.5,7,1.5,3.2,6.1,5.6,4.4,3.1,0.6,,,,,,,,,,,,,,,,,,,,,,
O20,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,A,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,B,1,2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,B,1,2,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,B,1,2,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,B,28.5,6,1.2,5.2,9.7,6.8,4.3,1.3,,,,,,,,,,,,,,,,,,,,,,,
O20,B,1,2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,B,34,9,0.6,3,6.6,7.6,6,5.2,3.5,1.6,0.2,,,,,,,,,,,,,,,,,,,,
O20,C,1,2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,1,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,2.5,3,0.5,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,1,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,1,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,10,6,1.1,1.6,2.3,2.5,1.8,0.4,,,,,,,,,,,,,,,,,,,,,,,
O20,C,1,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,1,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,2,4,0.2,0.7,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,8,6,0.9,1.2,1.7,2.7,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,
O20,C,3,3,1,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,5,4,1.3,1.3,1.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,2,3,0.7,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,C,2,3,0.5,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,D,4,3,1.3,1.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,D,47.5,10,1.4,3.7,10,9.1,8.3,7,4.6,2.3,0.9,0.2,,,,,,,,,,,,,,,,,,,
O20,E,70,16,1,2.2,4.2,7.7,8.3,7.8,5.7,5.8,5.5,4.9,4.8,5.6,3.8,1.8,0.8,0.2,,,,,,,,,,,,,
O20,F,4,3,1,1.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,F,24,7,1.5,4.5,6.8,5.5,3.6,1.6,0.2,,,,,,,,,,,,,,,,,,,,,,
O20,F,18,6,0.5,1.7,5.7,6.3,3.3,0.7,,,,,,,,,,,,,,,,,,,,,,,
O20,F,23,7,0.5,1.5,5.2,7.2,4.7,3.3,0.8,,,,,,,,,,,,,,,,,,,,,,
O20,F,16,6,1.3,2.4,5.4,4.2,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
O20,F,39,10,0.8,6.2,9.2,6,4.8,4.3,3.6,2.4,1.3,0.5,,,,,,,,,,,,,,,,,,,
O20,F,5.5,4,1,2.3,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
O20,F,7,4,0.6,1.8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
O20,F,19,6,1.2,2.5,5.8,5,3.2,1,,,,,,,,,,,,,,,,,,,,,,,
O20,F,2.5,3,0.6,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,F,2,2,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,F,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,F,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,G,7,6,0.7,1.5,2.1,1.5,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,
O20,G,3,3,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,G,97,21,1,2.5,5.8,8.6,8.6,9.3,8.7,6.6,5.7,5.5,4.8,4.6,5.1,4.3,3.8,3.7,2.6,2.2,2.1,1.2,0.5,,,,,,,,
O20,G,2,3,0.7,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
O20,G,4,4,1,1.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
O20,G,39.5,12,1,2.1,2.7,4,4.2,5.3,4.8,4.1,4.5,3.7,2.3,0.8,,,,,,,,,,,,,,,,,
O20,G,24,7,1.7,3.5,4.6,5.4,4.8,3.3,0.7,,,,,,,,,,,,,,,,,,,,,,
O20,G,7,5,0.6,2.1,2.6,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,
G29,A,1,2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,A,1,2,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,A,27,8,1,3.5,8,6.6,3.6,2,1.8,0.7,,,,,,,,,,,,,,,,,,,,,
G29,A,1,2,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,B,124,19,2,6.9,10.2,9,11.4,11.2,10.2,8.4,7,7,2.6,7.7,7.2,6,5.4,5.2,3.6,2.1,1.2,,,,,,,,,,
G29,C,130,21,0.7,1.8,3,3.5,5.7,9.5,11.3,10.7,9,9,8.7,9.2,9.5,8,8.5,6.8,4.8,4,3.2,2.2,0.6,,,,,,,,
G29,C,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,1,2,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,1,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,2,3,0.2,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,14,6,0.5,1.2,3.7,3.8,3.6,1.2,,,,,,,,,,,,,,,,,,,,,,,
G29,C,27,8,0.5,1.6,6.2,7.2,7.1,3.2,0.8,0.2,,,,,,,,,,,,,,,,,,,,,
G29,C,1,3,0.2,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,1,2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,1,2,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,0,2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,C,0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,D,2,2,1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,D,1,2,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,D,2,3,0.6,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,D,28,8,0.8,2.2,6.3,6.6,5.6,3.1,2.3,0.8,,,,,,,,,,,,,,,,,,,,,
G29,D,20,6,0.5,1.6,6.4,5.7,4.5,1.4,,,,,,,,,,,,,,,,,,,,,,,
G29,D,24,7,0.3,1.2,4.6,7.3,5.9,3.7,0.9,,,,,,,,,,,,,,,,,,,,,,
G29,D,1,2,0.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,D,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,D,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,E,41,10,0.5,1.2,4.6,7.5,7.2,7.1,5.7,4.3,2.6,0.7,,,,,,,,,,,,,,,,,,,
G29,E,2,3,0.5,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,E,1,2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,3,0.2,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,2,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,4,3,0.5,1.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,19,7,0.6,1.5,5.2,6.1,3.8,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,
G29,F,24,7,0.6,1.8,5.8,6.5,6.3,2.8,0.6,,,,,,,,,,,,,,,,,,,,,,
G29,F,1.5,2,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,3.5,4,0.3,1,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,F,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,G,1,2,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,G,3,3,0.5,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,G,18.5,8,0.5,1.8,5,4.6,2.9,2.3,1.2,0.2,,,,,,,,,,,,,,,,,,,,,
G29,G,1,2,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,G,1,3,0.3,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
G29,H,19,7,0.6,1.6,3.6,3.7,4.5,3.6,1,,,,,,,,,,,,,,,,,,,,,,
D21,A,31,8,1,3.3,7.5,7.6,4.7,3.4,2.6,0.7,,,,,,,,,,,,,,,,,,,,,
D21,A,33,11,0.5,3.2,9,9.2,4.3,3.3,1.6,0.6,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,
D21,A,33,8,0.5,2.7,7.2,9.3,5.2,4.5,2.7,1.1,,,,,,,,,,,,,,,,,,,,,
D21,B,42,12,0.8,3,7.3,6.8,4.8,4.3,3.1,3.3,3.8,3,1.4,0.3,,,,,,,,,,,,,,,,,
D21,B,8,5,0.5,1.6,3.2,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
D21,C,33,8,1.6,5.8,10.6,6.9,3.4,2.8,1.6,0.5,,,,,,,,,,,,,,,,,,,,,
D21,C,70,12,0.8,2.4,8,13.1,9.6,8.2,7.1,6.5,5.2,4.4,3,1.9,,,,,,,,,,,,,,,,,
D21,D,24,8,0.5,2.6,7.1,5.5,3.1,2.5,2.2,0.7,,,,,,,,,,,,,,,,,,,,,
D21,D,4,3,0.5,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
D21,E,16,8,0.9,2.5,3.5,3.6,2.6,1.7,1.1,0.4,,,,,,,,,,,,,,,,,,,,,
D21,E,1,2,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21,E,5,4,0.2,0.7,2.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
D21,F,38,11,1,3,6.2,5,4.3,3.6,4.7,4.5,3.9,1.5,0.2,,,,,,,,,,,,,,,,,,
D21,F,2.5,3,0.3,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
D21,F,32,8,1,3.6,7.7,7.9,5,3.6,2.3,0.7,,,,,,,,,,,,,,,,,,,,,
D21,G,45,9,0.5,3.1,8.2,11.4,7.6,6.5,5.2,2.3,0.2,,,,,,,,,,,,,,,,,,,,
D21,G,19,6,0.7,2.8,5.6,6,2.8,0.7,,,,,,,,,,,,,,,,,,,,,,,
D21,G,1,2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21,H,3,3,0.3,1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
D21,H,4,4,0.3,0.9,2.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
D21,H,6,5,0.5,1.6,2.5,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
D21,H,18,7,0.5,1.8,5.4,4.5,2.7,2.3,0.6,,,,,,,,,,,,,,,,,,,,,,
D21,H,29.5,7,1,4,9.3,8,4.4,2.1,0.7,,,,,,,,,,,,,,,,,,,,,,
D21,H,27,7,0.8,2.6,7.1,7.6,4.7,2.7,1.3,,,,,,,,,,,,,,,,,,,,,,
D21,H,21,7,1,2,4.6,4.5,3.4,3.8,1.8,,,,,,,,,,,,,,,,,,,,,,
D21,H,2,3,0.2,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,2,3,0.4,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,4,4,0.5,1.2,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,4,3,0.7,2.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,1,3,0.3,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,2,3,0.2,0.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,1,2,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,B,20,7,0.5,1.1,3.7,6.3,5.5,2.8,0.4,,,,,,,,,,,,,,,,,,,,,,
Q5,C,42,8,0.5,1.3,5.3,12.2,13.2,6.7,2.1,0.6,,,,,,,,,,,,,,,,,,,,,
Q5,D,18,7,0.6,1,2.2,5.6,6,2.3,0.3,,,,,,,,,,,,,,,,,,,,,,
Q5,D,3,4,0.5,0.6,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,9,5,0.8,1.2,2.5,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,6,5,0.5,0.8,1.5,2.4,1,,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,4,4,0.6,0.8,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,10.5,6,0.3,1,1.7,4,3,0.5,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,3,5,0.3,0.6,0.9,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,D,0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,E,19,7,0.3,0.6,1.8,6.3,7.4,2.3,0.2,,,,,,,,,,,,,,,,,,,,,,
Q5,E,51,12,0.5,1.7,6.8,8.8,8.7,5.7,4.4,5.6,4.6,2.2,1.3,0.6,,,,,,,,,,,,,,,,,
Q5,F,51,12,1,2.5,6.3,9,7.5,6.2,4.8,4.5,5.3,1.2,2,0.4,,,,,,,,,,,,,,,,,
Q5,G,28,9,0.3,1,3.4,6.9,6,5,3.5,1.5,0.3,,,,,,,,,,,,,,,,,,,,
Q5,G,70.5,17,0.7,3.2,6.7,6.2,5.6,5,6.6,6.4,5,4.7,5.6,5.3,4.7,2.5,1.3,0.7,0.3,,,,,,,,,,,,
Q5,H,1.5,2,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,H,19,6,0.3,1,5.2,8.7,3.6,0.3,,,,,,,,,,,,,,,,,,,,,,,
Q5,H,23,6,0.3,1.2,5.7,8.8,5.6,1.2,,,,,,,,,,,,,,,,,,,,,,,
Q5,H,8,5,0.5,1.5,5.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Q5,H,6,4,0.3,1.2,3.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q5,H,2,3,0.2,1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,1,2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,39,10,1.2,4,9.3,7.1,6.8,4.6,2.9,1.8,0.8,0.2,,,,,,,,,,,,,,,,,,,
J29,A,25,9,0.4,1.3,5.5,6.3,2.8,3.6,3,1.5,0.2,,,,,,,,,,,,,,,,,,,,
J29,A,14,7,0.3,0.7,4.5,4.2,3.1,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,
J29,A,50,14,0.5,1.7,2.5,9.4,8,8,6.9,3.9,3.7,1.7,1.6,0.7,0.7,0.4,,,,,,,,,,,,,,,
J29,A,1,2,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,11,6,0.3,1.1,1.9,4.9,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
J29,A,1,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,1,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,1,2,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,A,2,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,B,2,3,0.3,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,B,30,8,0.5,1.5,4.7,8.7,7,5.6,1.8,0.3,,,,,,,,,,,,,,,,,,,,,
J29,B,20,7,0.5,2.7,5.6,6.3,3.7,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,
J29,B,3,3,0.5,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,C,102,21,0.3,0.8,4.3,10,9.3,10.4,11.8,8.8,7.5,6.3,7.1,9.3,4,2.8,2.3,2.5,1.8,1.8,0.7,0.2,0.2,,,,,,,,
J29,D,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,D,34,11,0.5,1,4.7,6.6,6,5.2,3.6,3,2,0.8,0.2,,,,,,,,,,,,,,,,,,
J29,D,19,9,0.2,0.6,1.4,3.4,5.2,5.3,2.4,0.3,0.2,,,,,,,,,,,,,,,,,,,,
J29,D,48,11,0.3,1.1,3.1,6.1,5.3,7.8,8.2,6.8,5,3.1,0.8,,,,,,,,,,,,,,,,,,
J29,D,47,11,0.5,1.8,8,8.5,6.1,7.7,6.3,4,2.7,1.1,0.2,,,,,,,,,,,,,,,,,,
J29,D,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,D,1.5,3,0.2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,D,41.5,13,0.5,0.8,4.8,10,5.3,5.8,5.7,3.4,2.6,1,0.9,0.4,0.3,,,,,,,,,,,,,,,,
J29,E,1,3,0.2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
