f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
1.189854,1.457896,0.74379,-0.788493,0.67617,2.367216,1.7236,1.25509,0.952257,0.14957,1.467727,-0.521959,1.088499,-0.049403,-0.730431,-0.477489,-1.464822,1.206352,1.146193,-0.338874,-1.491305,1.100886,1.083541,-0.066398,-1.341017,1.44334,-1.371589,0.647578,-1.53113,-0.405294,-0.202369,-1.719524,-0.158367,-0.547673,-0.0623,1.364345,0.494884,0.338692,-0.520702,-1.140329,-1.337141,-0.634919,1.151626,0.050317,1.594672,0.422959,-0.426261,0.254517,0.404774,0.682397,-0.412815,0.602652,0.060175,-1.278948,-0.486729,-1.007552,0.158164,-0.700981,-1.476714,-0.355382,-0.099499,0.198227,-0.439893,1.526514,-1.478632,-1.620195,-1.103112,0.910391,-0.729419,-0.086782,-1.676262,1.604906,-0.476016,-0.289141,-0.844953,-0.040286,0.063809,1.331142,-0.869054,1.324463,0.713088,-1.031502,1.410286,-0.933524,-0.391254,-1.178076,-1.125878,0.929852,-0.029599,1.597277,0.307635,-1.493867,-0.400639,-0.597021,-0.269167,0.442265,0.639271,0.607751,-0.599533,1.345227
2.084308,1.386988,-1.352424,-1.648969,-1.361705,0.714765,0.39371,0.364489,-0.1916,1.047973,0.812128,-0.864219,1.675595,1.448472,-0.132675,-1.513407,-1.213391,0.089444,-0.38175,-0.128251,0.867018,0.428251,0.528983,1.37312,-1.577639,0.09196,-0.480988,0.123132,-0.505156,-1.388702,1.205648,0.737431,1.380235,0.662549,-1.371831,-0.10414,0.045957,0.138395,0.46156,-0.930804,0.508821,0.907722,-1.020417,-0.457371,0.891263,0.520399,-0.006559,-0.923959,-0.060627,1.236535,-1.523495,-1.266284,-0.31111,-0.909503,0.214967,-0.808388,0.529972,-0.816429,0.980945,1.616595,-0.046588,1.546833,0.919864,-1.330564,-0.262664,-1.499297,0.581497,-1.491831,-0.610592,0.911917,-0.304805,-0.195906,-0.702184,1.265279,1.096792,0.790682,1.154573,0.640845,-0.946253,0.702481,1.118018,1.163721,-0.459717,-0.079695,-1.625189,1.667998,-1.668962,-1.251648,-1.320951,-0.419048,-0.412115,-0.41934,0.960377,-0.764054,1.144596,-0.561439,-0.072207,-1.014428,1.057816,1.118754
1.03546,0.775317,-1.681775,-1.436746,-1.573995,0.700152,1.2818,-0.296224,1.300793,0.501387,-0.173614,1.319442,1.301612,0.686315,-1.482064,0.917174,0.456451,0.574945,-0.456501,-1.003291,0.993143,1.117245,-0.810009,-0.025588,-0.252558,1.480665,1.67529,0.631124,0.058633,0.216958,0.013879,0.723325,0.426109,-0.924011,-0.656523,-1.699447,1.45027,-0.951433,-0.519777,-1.013398,1.519057,1.645297,1.140623,-0.443146,-0.124824,1.378322,0.3016,-0.284,-0.298869,0.82439,-1.314568,0.389909,1.68342,0.76298,1.122101,1.222591,-0.754137,-1.184114,-1.618613,-1.13234,0.724324,-1.517467,0.547746,-1.548839,0.605437,0.049911,0.542948,-1.098384,-1.194495,0.670763,1.591916,-0.508445,-0.767613,-1.684575,0.861484,-1.009612,-1.586843,0.86981,1.119887,-1.374852,-0.836873,0.272191,-0.335693,1.330271,-0.428696,0.04516,-1.724645,-0.440103,-0.931354,-0.476701,-1.063502,-1.170362,-0.351625,0.024187,-0.803536,1.108425,-0.750228,-1.573734,-1.052392,-1.557691
-0.773059,-0.86885,0.068874,0.679502,-0.260137,-0.718114,-1.276459,0.709468,-0.356912,-0.399685,1.552588,0.904293,-0.775238,-0.548075,0.534932,0.649832,1.391601,0.662826,-1.452857,-1.631046,-0.873457,-1.042448,-0.546196,-1.138419,-0.745195,0.822398,-1.49491,0.478239,-0.949622,-1.678304,-0.551572,-1.743084,1.678483,-0.2593,0.292281,-1.068322,-0.274055,0.944595,-1.268973,-0.985351,-0.670955,0.147706,-0.942162,-0.579645,-0.222789,0.001331,1.184303,1.207528,-1.521268,-0.951481,1.040456,0.994437,-1.520138,-0.777046,1.029849,-1.449033,0.219577,-1.447722,-0.29314,-1.190914,-0.743015,-0.408107,1.173332,-0.837362,-0.177506,-1.422491,0.540876,1.536313,0.577951,-0.681109,-0.860046,1.300238,-1.051524,-1.609128,-0.473561,0.289805,1.634077,0.86382,0.50733,-1.554835,-0.93727,0.267064,0.272598,-0.397331,0.525969,-1.283981,-1.392523,0.046947,0.714789,-1.014275,1.287784,-1.306032,1.416787,0.398516,0.124954,0.006139,0.265834,-0.101272,0.883567,1.175799
-0.410393,-1.045435,-0.953915,-0.37661,-1.09101,-0.758674,-0.812346,-0.05668,-0.254012,0.693294,0.647185,1.592259,-1.091175,-0.514615,0.966766,-1.516653,-1.363936,0.702625,-1.00293,-0.775622,0.667721,1.544802,0.224976,-1.190613,1.247015,-1.750098,0.239827,0.791515,1.57603,-0.481087,0.940814,-0.668349,-0.627735,-0.056041,1.428735,-1.704364,0.788049,1.561508,-0.223693,0.61564,0.289762,0.542488,-1.452119,0.768276,-1.548828,1.269786,-1.263953,-1.669353,-0.5168,-0.826852,0.2139,-0.825973,1.302144,1.09243,1.277274,-0.055578,-0.164232,0.770753,-1.410689,1.030149,-0.405935,-1.575028,-1.479287,-1.629933,-1.0568,0.629007,-0.488453,-0.455491,-1.171905,-0.802757,0.174554,0.032829,-0.543394,0.45984,-0.732228,-0.586779,0.557047,-0.027922,-0.250044,-0.031304,-1.638205,1.604338,1.627165,0.453955,-0.054711,-0.80407,-1.090551,0.795604,0.034916,-1.002276,1.64936,1.223976,-0.121145,0.341313,-1.309752,1.247558,0.689426,-0.283754,-0.196894,0.449169
-0.42392,-0.775024,-0.397267,-1.44145,-0.308289,1.765749,1.234805,0.365581,1.385738,1.343013,-0.702686,0.637752,0.670046,-1.501989,-0.54722,0.675002,0.319623,-0.407576,-1.039306,1.516206,1.145091,1.301163,-1.217026,0.222085,1.354388,1.071158,-1.387321,0.571966,0.213319,1.35357,1.524423,1.58709,1.443402,-0.238934,-0.822941,0.229351,1.366113,0.236143,1.667896,-1.32215,1.015141,0.014727,0.434715,-1.276705,1.322109,-0.850836,-1.224993,-1.57893,1.116243,-1.315943,0.751858,0.376536,1.249519,-0.892898,-1.580868,0.485974,1.742841,0.200896,0.2925,-0.591997,-0.963701,1.536646,-0.940357,1.180403,-0.523381,-0.680496,-1.658246,-1.131569,-1.31664,0.117149,-1.555824,-0.154859,-1.030043,1.599809,1.021787,-0.828063,-0.449997,0.140335,-1.028169,1.670967,-0.715526,-0.433718,0.505998,-1.485766,-1.442903,0.332441,0.860501,0.638969,1.549591,0.319676,-1.353183,-1.184047,-1.518011,1.17534,0.443369,0.902252,-0.993364,-0.811888,0.96321,0.154639
0.573852,1.773543,-0.393053,-0.913886,-0.179714,-0.37896,-0.932175,1.247838,-0.215873,0.232503,-0.140907,1.621642,-1.279982,0.76524,-0.20798,-0.457634,-1.01552,1.556807,-0.407806,-0.163306,-1.224376,-0.292104,0.385325,1.540722,-0.652361,-0.89366,-1.546078,-0.10427,0.060833,1.008083,-1.371382,-0.811316,-0.634043,0.032709,-0.535919,0.260524,0.864268,-1.459105,-0.671277,1.278728,1.669352,-0.583454,-1.531794,-0.205202,-1.376464,0.10919,0.05379,1.373802,-1.325504,-1.198397,0.11513,1.05561,-1.17866,0.865108,0.336053,1.126787,0.436305,0.195361,-1.087036,-0.127346,-1.560577,-1.223473,1.242913,0.726628,-0.584933,-1.267145,-1.623139,1.724868,0.952603,-1.541844,-0.803869,-0.666495,1.433083,1.01789,0.928565,1.720604,-1.364811,-0.564787,-1.453004,1.491087,1.177627,-1.670387,1.627579,-0.681671,0.681396,1.096584,-1.399545,1.543189,-1.179671,-0.684482,-0.353219,0.39544,1.62579,0.402877,1.51879,-1.479119,-0.984575,-0.720136,-0.945919,0.95094
-0.842156,-1.549039,-0.805189,0.311751,-0.945652,0.486826,-0.607301,-0.262699,-0.612046,1.124526,0.773123,-0.1347,1.682892,-1.511059,1.244378,-0.389624,-1.455406,0.499031,-0.608277,1.193051,0.043926,-1.264289,1.1376,0.297714,0.77595,-1.478478,0.58385,0.400879,1.346395,1.3795,-1.511351,1.08184,0.428444,0.704609,-0.086252,0.362796,-1.507065,-1.443885,1.174786,-0.546231,-0.369442,-0.976388,1.107886,-0.692391,0.421594,1.577987,-0.36498,1.488514,-1.450728,-1.197072,-1.576801,1.020879,0.299775,-0.833958,1.702106,-0.358598,0.21013,1.175969,-0.063902,1.130405,1.372767,-1.58597,0.842647,1.05691,0.653469,-0.171485,-0.312741,-0.281631,-0.191398,-0.615444,-1.334924,-0.431538,-0.592451,-0.497654,-0.81488,-1.709596,0.519566,0.020946,1.414371,0.265227,-0.376326,-0.790346,0.237283,-0.95653,-0.5746,0.778785,-1.297286,0.469178,1.309468,-1.68665,-1.646442,-1.552158,0.452999,0.78439,-0.951503,-0.680173,0.009298,-0.962077,-0.184478,0.950799
0.278315,0.83611,2.417915,1.683015,1.97233,0.41975,0.092073,-0.34093,0.897738,0.653901,-0.923204,1.580742,0.036953,-1.678334,1.291227,-0.143826,-1.566666,1.531823,0.866708,0.632783,-1.325082,1.662058,1.610255,0.394776,-1.554141,-0.660398,-0.504813,0.283199,0.276537,-1.201474,-1.08321,1.16757,0.599369,1.742006,-1.201784,1.12863,-0.255634,1.359032,1.333548,-0.185976,-0.504698,-0.7584,0.066931,1.543148,0.085568,0.407947,0.72745,-1.628638,1.141815,0.324192,0.238849,-1.379739,-0.485985,0.359942,-0.673422,0.090869,1.041711,-0.881392,-0.052321,-1.053074,-0.199679,1.167842,-1.154173,-0.419817,-1.248186,-0.027618,-1.28539,1.629632,-0.285867,0.112304,-0.136968,0.658008,0.707792,1.351682,-1.234612,-1.372818,0.845968,-0.439914,0.725593,-0.125767,-1.309629,1.32693,-0.070535,1.01722,1.286479,-0.638823,0.494727,0.337587,-0.88587,1.653388,-1.08663,1.561363,0.816034,1.195115,1.49019,0.398181,0.762956,-0.642387,-0.295408,0.167677
-1.411003,-0.967028,-0.880687,-1.493874,-0.831585,-0.214559,-0.846718,-0.089348,-1.304105,0.838381,-0.816354,1.518572,0.99437,-0.397865,0.831347,-0.981946,0.962994,-0.83611,-0.870199,0.912281,0.203244,-0.610722,0.681629,-0.642004,-1.417544,-1.397037,-0.939295,-1.609229,-1.747808,1.244988,0.470723,-0.607347,-1.347158,-0.181053,0.862753,0.288398,-0.014477,0.095547,-0.823883,-0.144226,-0.97436,0.751525,1.098607,-0.709695,0.069248,-0.964992,1.366676,1.016273,-1.615428,-0.191838,-0.2472,-1.723647,-0.499099,-0.057972,-0.949811,-0.316386,0.773233,1.456384,1.042712,-0.162615,-1.388137,-0.02653,-0.56025,1.448578,1.19556,-0.817266,-1.73783,-0.612986,0.495692,-1.09068,1.205197,1.265416,-1.549365,-0.946496,-1.137299,0.667372,0.708881,0.794533,-0.430794,1.702588,0.559872,-0.821436,1.245671,-1.329093,-1.428459,0.682075,-1.183734,0.245447,0.925925,0.148177,1.687074,0.483233,-0.715,-0.256463,-1.603483,-1.63117,-1.127269,0.069686,-0.493171,0.964698
-0.256773,-0.076407,-0.318313,-0.861259,-0.325341,0.345436,-0.02083,0.08157,-1.067307,-0.671601,1.359972,0.405576,-0.886325,1.355585,-1.492262,-1.09192,1.349565,-1.533742,0.088022,1.17632,1.298904,0.948039,-0.58895,1.569897,-0.275323,0.087429,-0.493419,-0.397948,1.132461,-0.054995,0.491403,-0.702397,0.1399,-0.137152,-0.162168,1.20056,-0.608749,1.048016,1.446262,-0.58018,-0.007936,0.740153,-0.913533,-0.835084,0.218561,-1.117906,0.460224,1.411663,-1.55899,1.723573,-1.568823,0.545666,1.426827,0.111389,-0.485489,-0.45527,0.698664,1.443298,-0.873759,-0.092957,1.431437,0.067914,-0.63069,-1.304646,1.493269,0.883857,0.229962,0.64175,-0.980998,-0.132004,-0.932129,-1.595862,-0.160139,-1.54064,-1.171515,1.705106,0.758133,-0.316023,0.014162,0.960448,-0.51545,0.553988,-0.356679,-0.683971,-1.119733,0.280273,0.917647,-1.530222,-0.731758,-0.743949,0.108445,-1.58041,0.015517,-0.315983,1.001292,0.271366,0.587534,-1.372972,0.750192,1.217979
1.241803,1.005325,2.004207,1.324081,2.524041,-0.785756,-1.391233,-0.668272,1.100557,-1.237657,1.5757,-0.031238,-1.232523,-1.607164,-1.644117,1.336812,0.026924,0.06333,0.647519,-0.774954,1.539898,1.696161,-0.81377,-0.603709,-0.20457,1.293844,1.44934,-0.544801,-1.762722,-1.060361,-0.590854,-0.163291,-0.699461,0.227395,0.24088,1.066922,-1.116583,0.996238,1.390014,-0.971306,-0.180466,0.871535,0.405131,0.322182,0.57243,-0.691385,0.881225,-0.892364,0.072806,0.961826,-1.539544,-0.641325,1.248333,-0.676199,-0.745717,1.455836,-0.947458,0.337092,0.741838,0.060182,-0.201135,1.087796,1.484591,-1.303694,-1.593405,-0.738529,0.646121,-1.068303,-1.017698,1.097582,-0.357197,-1.643884,0.051534,0.569297,-1.04804,0.564691,0.42285,-1.065962,0.143093,-0.946972,-1.240298,0.24964,-0.40483,-0.800887,1.584646,0.612046,-1.096937,1.438495,-1.32581,-1.550939,1.137351,-1.001478,-0.819335,1.221979,0.110136,1.423765,-0.03375,1.550515,-0.350813,1.616197
1.322765,0.969643,1.811409,1.624164,2.423064,-0.734042,-1.51878,-0.536235,0.823264,-0.436856,0.722812,0.614192,-0.507814,-1.278957,1.488946,0.069111,-1.606599,0.700512,1.271307,-0.605225,-1.115424,0.315916,-0.485769,-1.008292,0.901236,-1.55709,-0.092468,1.001986,-0.517814,1.312871,-1.052034,0.110356,1.254119,0.128702,0.69704,0.11793,1.710612,-1.494585,-1.337148,0.735988,0.284489,-0.911026,-1.478763,1.142593,1.063682,-0.923534,1.361539,-1.644422,-1.149204,0.35561,0.858518,0.713009,-1.676202,1.499423,0.139361,1.351626,-1.028547,-0.887155,-0.196357,-0.974973,-0.200209,1.337754,-1.278957,-0.501577,-0.144105,-0.103041,0.941186,-1.609143,-0.686122,0.925435,1.056468,-1.191076,-1.601773,1.330935,0.981299,1.495085,0.635497,-1.150172,-1.455169,-1.435925,0.181258,-0.608332,1.288535,0.477684,-0.78151,-1.488371,1.317034,-1.708541,0.299725,-1.371362,0.994411,1.289724,-0.593517,0.689642,-0.871403,0.947446,-0.660382,1.384609,-1.624065,-0.895548
-0.311611,-1.224437,-0.168181,-0.501511,-0.182989,-0.613763,-0.878459,-1.230961,-1.475888,-1.507126,1.085136,0.05138,-1.085532,-1.277143,-1.655019,-0.044686,1.534075,-1.351066,-1.497793,1.613232,-0.588839,-1.353014,-0.237229,1.269838,0.287283,-0.773401,0.855506,-0.218918,-1.52921,-0.349812,-0.708566,0.31047,-1.057755,-0.679697,1.215723,-0.090694,-0.959882,0.380719,-0.90605,-1.688659,1.547997,1.445599,-0.934906,-1.172908,-1.570815,-0.485313,0.77745,-1.580611,-1.679994,0.101649,-1.115341,0.217726,-0.482685,-1.781336,0.65196,1.713516,1.725419,0.349521,0.543337,-0.020757,-1.61911,-0.161503,0.227592,-1.19403,0.894947,-0.953336,0.042483,-1.262794,0.046363,0.589436,0.253893,0.504292,-0.164906,-0.744941,-0.42786,1.706405,-1.467561,-1.261529,1.585386,0.176989,0.007758,-0.562435,-1.46025,1.123037,-0.905893,-0.338364,0.487957,0.686873,1.475728,1.381831,-1.086367,1.36089,-0.257101,-0.590878,-1.021836,0.209572,1.030516,0.218936,1.548445,0.13278
