f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,20,1,1,1,1,8,8,14,1
14,4,9,7,12,7,11,12,8,5,3,1,3,2,4,5,6,3,47,81,3,13,2,20,0,1,0,0,3,7,11,0
14,4,9,7,12,7,11,12,8,5,3,1,3,2,4,5,6,3,47,81,3,13,2,20,0,1,0,0,3,7,11,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
20,12,9,7,12,7,12,9,8,5,4,4,6,7,6,4,2,2,47,78,3,13,2,20,1,1,0,0,2,6,10,0
22,3,9,7,12,7,15,8,8,5,5,4,45,20,6,4,3,1,47,77,3,13,2,20,0,1,0,0,4,6,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
5,0,9,7,12,7,9,14,8,5,4,2,32,32,6,4,2,2,47,75,3,13,2,20,0,1,0,0,4,6,8,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
20,12,9,7,12,7,12,9,8,5,4,4,6,7,6,4,2,2,47,78,3,13,2,20,1,1,0,0,2,6,10,0
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
14,4,9,7,12,7,11,12,8,5,3,1,3,2,4,5,6,3,47,81,3,13,2,20,0,1,0,0,3,7,11,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
22,3,9,7,12,7,15,8,8,5,5,4,45,20,6,4,3,1,47,77,3,13,2,20,0,1,0,0,4,6,13,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
14,4,9,7,12,7,11,12,8,5,3,1,3,2,4,5,6,3,47,81,3,13,2,20,0,1,0,0,3,7,11,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
22,3,9,7,12,7,15,8,8,5,5,4,45,20,6,4,3,1,47,77,3,13,2,20,0,1,0,0,4,6,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,14,1,1,1,1,8,8,14,1
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
23,31,9,7,12,7,15,17,8,5,5,5,45,69,5,6,5,6,44,74,3,13,2,18,1,0,2,2,8,8,14,2
23,31,9,7,12,7,15,13,8,5,5,4,45,61,5,5,5,2,47,73,3,13,2,18,0,0,0,0,4,7,14,0
23,31,9,7,12,7,15,7,8,5,5,4,45,55,5,2,5,3,43,72,3,13,2,18,1,0,2,2,8,8,14,2
23,31,9,7,12,7,15,9,8,5,5,1,45,6,5,3,5,1,47,71,3,13,2,18,0,0,0,0,4,7,13,0
13,31,9,7,12,7,15,17,8,5,5,5,45,69,2,6,4,6,44,74,3,13,2,18,1,1,2,2,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,14,1,1,1,1,8,8,14,1
19,31,6,6,9,6,15,17,8,5,5,5,45,69,6,6,1,6,47,70,3,13,2,18,0,0,0,0,4,7,14,0
12,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,2,3,43,72,3,13,2,18,1,0,2,2,8,8,14,2
23,31,5,6,9,6,8,16,8,5,4,4,28,42,5,4,5,3,47,69,3,13,2,18,0,0,0,0,1,7,13,0
23,31,5,7,9,5,15,17,8,5,5,5,45,69,5,6,5,6,42,68,3,13,2,20,1,0,0,0,2,6,13,0
23,31,5,7,9,5,8,16,8,5,2,3,13,13,5,3,5,3,47,67,3,13,2,18,1,1,0,0,2,6,14,0
23,31,5,6,9,6,15,17,8,5,5,5,45,69,5,6,5,6,41,66,3,13,2,20,0,0,0,0,2,7,14,0
23,31,5,6,9,6,15,15,8,5,5,1,45,60,5,5,5,3,47,65,3,13,2,20,0,0,0,0,4,7,13,0
23,31,5,6,9,6,15,17,8,5,5,5,45,69,5,6,5,6,40,64,3,13,2,20,0,0,0,0,6,7,14,0
23,31,5,7,9,5,15,17,8,5,5,5,45,69,5,6,5,6,47,63,3,13,2,20,1,0,0,0,4,7,13,0
23,31,5,7,8,5,15,17,5,5,5,5,45,69,5,6,5,6,45,88,2,10,2,13,1,0,1,1,8,8,14,1
23,31,5,7,8,5,15,17,5,5,5,5,45,69,5,6,5,6,45,88,2,10,2,12,1,1,1,1,8,8,14,1
1,25,5,5,7,5,15,11,4,4,5,0,45,58,1,4,2,1,39,62,3,13,2,20,0,0,0,0,2,5,14,0
23,31,5,5,7,5,15,17,4,4,5,5,45,69,5,6,5,6,38,61,3,13,2,20,0,0,2,0,8,8,14,2
23,31,4,5,6,7,15,17,3,4,5,5,45,69,5,6,5,6,37,88,0,13,2,20,0,0,1,1,8,8,14,1
23,31,5,7,9,4,0,3,8,3,3,1,22,21,5,3,5,3,47,24,3,13,2,20,0,0,2,0,0,8,14,0
23,31,5,7,9,5,2,13,8,5,4,4,37,57,5,5,5,2,47,35,3,13,2,20,0,0,0,0,4,5,14,0
23,31,5,7,9,5,15,11,8,5,5,0,45,58,5,4,5,1,20,62,3,13,2,20,0,0,0,0,2,5,14,0
23,31,5,7,8,5,15,17,5,5,5,5,45,69,5,6,5,6,45,88,2,10,2,13,1,1,1,1,8,8,14,1
23,31,5,7,8,5,15,17,5,5,5,5,45,69,5,6,5,6,45,88,2,10,2,13,1,1,1,1,8,8,14,1
23,31,5,7,8,5,15,17,5,5,5,5,45,69,5,6,5,6,45,88,2,10,2,12,1,1,1,1,8,8,14,1
23,31,5,7,8,5,15,17,5,5,5,5,45,69,5,6,5,6,45,88,2,10,2,13,1,1,1,1,8,8,14,1
6,31,5,7,9,5,15,17,8,5,5,5,45,69,4,6,0,6,47,43,3,13,2,20,0,0,0,0,4,6,5,0
23,31,5,6,4,6,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,5,2,5,1,0,1,1,8,8,14,1
16,21,5,7,9,5,4,16,8,5,2,4,34,56,4,5,4,5,47,87,3,13,2,20,0,0,0,0,7,7,13,0
23,31,5,7,9,5,15,10,8,5,5,1,45,12,5,0,5,3,19,23,3,13,2,20,1,0,0,2,8,5,14,0
5,5,5,6,9,6,15,8,8,5,5,4,45,20,6,4,3,1,47,77,3,13,2,20,0,0,0,0,4,6,13,0
23,31,5,7,9,5,15,17,8,5,5,5,45,69,5,6,5,6,47,43,3,13,2,20,0,0,0,0,4,6,5,0
23,31,5,7,9,5,15,17,8,5,5,5,45,69,5,6,5,6,47,22,3,13,2,20,0,0,0,0,4,7,11,0
19,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,3,3,43,72,3,13,2,18,1,1,2,2,8,8,14,2
19,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,3,3,43,72,3,13,2,18,1,1,2,2,8,8,14,2
19,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,3,3,43,72,3,13,2,18,1,1,2,2,8,8,14,2
19,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,3,3,43,72,3,13,2,18,1,1,2,2,8,8,14,2
19,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,3,3,43,72,3,13,2,18,1,1,2,2,8,8,14,2
19,7,5,6,9,6,15,7,8,5,5,4,45,55,3,2,3,3,43,72,3,13,2,18,1,1,2,2,8,8,14,2
13,31,9,7,12,7,15,17,8,5,5,5,45,69,2,6,4,6,44,74,3,13,2,18,1,1,2,2,8,8,14,2
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
10,31,9,7,12,7,15,17,8,5,5,5,45,69,6,6,3,6,46,86,3,13,2,18,1,1,0,0,6,7,12,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
20,12,9,7,12,7,12,9,8,5,4,4,6,7,6,4,2,2,47,78,3,13,2,20,1,1,0,0,2,6,10,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
22,3,9,7,12,7,15,8,8,5,5,4,45,20,6,4,3,1,47,77,3,13,2,20,0,1,0,0,4,6,13,0
20,12,9,7,12,7,12,9,8,5,4,4,6,7,6,4,2,2,47,78,3,13,2,20,1,1,0,0,2,6,10,0
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
5,0,9,7,12,7,9,14,8,5,4,2,32,32,6,4,2,2,47,75,3,13,2,20,0,1,0,0,4,6,8,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
20,12,9,7,12,7,12,9,8,5,4,4,6,7,6,4,2,2,47,78,3,13,2,20,1,1,0,0,2,6,10,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
22,3,9,7,12,7,15,8,8,5,5,4,45,20,6,4,3,1,47,77,3,13,2,20,0,1,0,0,4,6,13,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
14,4,9,7,12,7,11,12,8,5,3,1,3,2,4,5,6,3,47,81,3,13,2,20,0,1,0,0,3,7,11,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
5,0,9,7,12,7,9,14,8,5,4,2,32,32,6,4,2,2,47,75,3,13,2,20,0,1,0,0,4,6,8,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,20,1,1,1,1,8,8,14,1
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,14,1,1,1,1,8,8,14,1
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,14,1,1,1,1,8,8,14,1
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
20,0,9,7,12,7,12,15,8,5,4,1,32,38,4,5,2,2,47,76,3,13,2,20,1,1,0,0,2,5,9,0
0,20,9,7,12,7,9,14,8,5,4,2,32,36,6,4,2,2,47,75,3,13,2,20,0,1,0,0,4,6,8,0
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,20,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,16,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,16,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,20,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,16,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,16,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
0,20,9,7,12,7,9,14,8,5,4,2,32,36,6,4,2,2,47,75,3,13,2,20,0,1,0,0,4,6,8,0
0,29,9,7,12,7,15,15,8,5,5,1,45,40,4,4,2,1,47,76,3,13,2,20,1,1,0,0,2,5,9,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
0,29,9,7,12,7,15,15,8,5,5,1,45,40,4,4,2,1,47,76,3,13,2,20,1,1,0,0,2,5,9,0
20,12,9,7,12,7,12,9,8,5,4,4,6,7,6,4,2,2,47,78,3,13,2,20,1,1,0,0,2,6,10,0
0,29,9,7,12,7,15,15,8,5,5,1,45,40,4,4,2,1,47,76,3,13,2,20,1,1,0,0,2,5,9,0
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,15,1,1,1,1,8,8,14,1
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
14,4,9,7,12,7,11,12,8,5,3,1,3,2,4,5,6,3,47,81,3,13,2,20,0,1,0,0,3,7,11,0
14,23,9,7,12,7,14,11,8,5,4,2,5,16,6,4,6,3,47,80,3,13,2,20,0,1,0,0,7,7,13,0
14,23,9,7,12,7,10,10,8,5,3,1,37,31,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,36,88,0,13,2,20,0,0,1,1,8,8,14,1
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,36,88,0,13,2,20,0,1,1,1,8,8,14,1
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,35,88,0,13,2,18,0,1,1,1,8,8,14,1
23,31,6,4,7,4,15,17,4,4,5,5,45,69,5,6,5,6,47,60,3,13,2,20,0,0,2,0,8,8,14,2
23,31,6,4,7,4,7,8,4,4,1,2,41,48,5,4,5,4,43,59,3,13,2,20,1,0,0,2,8,8,14,0
23,31,6,4,7,4,15,17,4,4,5,5,45,69,5,6,5,6,47,58,3,13,2,20,0,0,2,0,8,8,14,2
23,31,6,4,7,4,8,16,4,4,0,1,29,46,5,4,5,1,47,57,3,13,2,20,0,0,0,0,2,7,14,0
23,31,6,4,7,4,6,6,4,4,1,2,3,2,5,5,5,4,47,56,3,13,2,20,0,0,0,0,4,6,13,0
23,31,6,4,7,4,5,7,4,4,4,4,32,42,5,4,5,2,47,55,3,13,2,20,0,0,0,0,4,6,13,0
7,23,6,4,7,4,12,9,4,4,1,2,44,68,3,3,1,4,48,82,3,13,2,18,0,1,2,0,8,8,14,2
23,31,3,6,12,7,4,9,4,4,0,1,43,22,5,4,5,1,47,71,3,13,2,20,0,0,0,0,4,7,13,0
23,31,3,6,12,7,11,12,4,4,4,4,3,2,5,5,5,2,42,68,3,13,2,20,1,0,0,0,2,6,13,0
4,12,3,6,12,7,11,12,4,4,4,4,3,2,4,5,4,2,42,68,3,13,2,20,1,1,0,0,2,6,13,0
4,1,3,6,12,7,11,12,4,4,2,3,4,28,4,5,4,5,47,54,3,13,2,20,0,1,0,0,4,6,13,0
23,31,2,6,8,7,15,17,5,4,5,5,45,69,5,6,5,6,34,88,2,9,2,11,1,0,1,1,8,8,14,1
23,31,2,6,8,7,15,17,5,4,5,5,45,69,5,6,5,6,34,88,2,9,2,10,1,0,1,1,8,8,14,1
