f1,f2,f3,f4,f5,f6,f7
37,4,91,68,2025,18,1983
18,6,258,110,2962,14,1972
32,4,71,65,1836,21,1975
38,4,91,67,1995,16,1983
28,4,112,88,2605,20,1983
26,4,121,113,2234,13,1971
36,4,135,84,2370,13,1983
27.4,4,121,80,2670,15,1980
21.5,6,231,115,3245,15,1980
31,4,79,67,1950,19,1975
23.9,4,119,97,2405,15,1979
19.4,6,232,90,3210,17,1979
19,4,121,112,2868,16,1974
25,4,140,75,2542,17,1975
44.6,4,91,67,1850,14,1981
15.5,8,318,145,4140,14,1978
25,4,90,71,2223,17,1976
23.7,3,70,100,2420,13,1981
27.9,4,156,105,2800,14,1981
26.6,8,350,105,3725,19,1982
15,8,304,150,3892,13,1973
20,6,232,100,2914,16,1976
28,4,116,90,2123,14,1972
30,4,111,80,2155,15,1978
22.3,4,140,88,2890,17,1980
13,8,350,155,4502,14,1973
28.1,4,141,80,3230,20,1982
36,4,120,88,2160,15,1983
29.8,4,89,62,1845,15,1981
24.5,4,98,60,2164,22,1977
20,4,140,90,2408,20,1973
15.5,8,350,170,4165,11,1978
20.5,6,225,100,3430,17,1979
13,8,350,150,4699,15,1975
31.5,4,89,71,1990,15,1979
17,8,260,110,4060,19,1978
34.1,4,91,68,1985,16,1982
36,4,107,75,2205,15,1983
13,8,302,140,4294,16,1973
20.5,6,200,95,3155,18,1979
26,4,122,80,2451,17,1975
24.2,6,146,120,2930,14,1982
25.5,4,140,89,2755,16,1978
12,8,383,180,4955,12,1972
20,8,262,110,3221,14,1976
19,6,232,90,3211,17,1976
19,4,120,88,3270,22,1977
36,4,98,70,2125,17,1983
28,4,140,90,2264,16,1972
15,6,258,110,3730,19,1976
24,4,134,96,2702,14,1976
31,4,91,68,1970,18,1983
19,6,225,95,3264,16,1976
13,8,302,130,3870,15,1977
30,4,98,68,2155,17,1979
33.7,4,107,75,2210,14,1982
30,4,135,84,2385,13,1982
19,6,232,100,2901,16,1975
15,6,250,100,3336,17,1975
18,6,225,105,3613,17,1975
25,6,181,110,2945,16,1983
14,8,351,153,4154,14,1972
19,4,122,85,2310,19,1974
19.2,6,231,105,3535,19,1979
32.3,4,97,67,2065,18,1982
24,4,140,92,2865,16,1983
18.6,6,225,110,3620,19,1979
18.1,6,258,120,3410,15,1979
23.8,4,151,85,2855,18,1979
15,8,318,150,3777,13,1974
22,4,140,72,2408,19,1972
15.5,8,304,120,3962,14,1977
27,4,151,90,2950,17,1983
30,4,146,67,3250,22,1981
26.4,4,140,88,2870,18,1981
32,4,85,70,1990,17,1977
14,8,400,175,4464,12,1972
14,8,304,150,4257,16,1975
26,4,97,75,2265,18,1978
20.6,6,231,105,3380,16,1979
18,6,232,100,2789,15,1974
18.5,8,360,150,3940,13,1980
33.5,4,151,90,2556,13,1980
38,4,91,67,1965,15,1983
24,4,120,97,2489,15,1975
35,4,122,88,2500,15,1981
34.5,4,105,70,2150,15,1980
22,6,198,95,2833,16,1971
10,8,307,200,4376,15,1971
12,8,350,160,4456,14,1973
15,6,250,72,3432,21,1976
11,8,429,208,4633,11,1973
26,4,108,93,2391,16,1975
39.4,4,85,70,2070,19,1979
28,4,98,80,2164,15,1973
32,4,135,84,2295,12,1983
13,8,350,165,4274,12,1973
19,6,250,100,3282,15,1972
27,4,97,88,2100,17,1973
20,6,225,100,3651,18,1977
37,4,119,92,2434,15,1981
13,8,400,170,4746,12,1972
30.5,4,97,78,2190,14,1978
17.6,8,302,129,3725,13,1980
19,3,70,97,2330,14,1973
36,4,79,58,1825,19,1978
33,4,105,74,2190,14,1982
25,4,113,95,2228,14,1972
25.5,4,122,96,2300,16,1978
21,6,155,107,2472,14,1974
11,8,318,210,4382,14,1971
17,6,163,125,3140,14,1979
36,4,105,74,1980,15,1983
