f1,f2,f3,f4,f5,f6,f7,f8
3,2,0,11,33,66,2,45
2,2,0,9,32,50,1,41
4,2,0,9,34,50,2,78
32,1,1,31,44,91,19,300
2,3,0,1,39,0,2,5
3,2,0,12,33,66,1,107
5,2,0,18,35,70,1,79
2,2,0,8,32,0,2,18
17,0,1,2,17,0,0,24
5,0,1,2,5,0,0,20
4,1,0,7,16,75,1,102
23,1,0,13,35,88,18,301
0,1,0,1,12,0,0,6
22,1,0,11,34,93,7,397
31,1,0,10,43,85,17,967
0,0,1,0,0,0,0,181
11,1,0,4,23,9,10,143
8,1,0,2,20,60,0,97
2,1,0,13,14,0,2,63
8,7,0,13,850,77,7,114
2,0,8,1,2,0,0,5
2,1,0,18,14,0,2,86
4,6,0,15,780,62,3,137
3,1,0,14,15,33,3,101
3,1,0,10,15,0,2,48
2,1,0,15,14,0,2,84
4,7,0,15,795,50,3,138
2,1,0,10,14,0,2,119
3,1,0,18,15,0,2,133
13,1,0,7,25,71,12,106
13,1,0,10,25,72,13,134
5,2,0,8,30,53,4,78
13,2,0,16,89,71,8,213
14,1,0,10,26,90,13,463
30,1,0,11,42,91,30,198
10,2,0,19,26,68,10,207
7,2,0,11,27,66,3,141
2,0,2,2,2,0,2,6
12,1,0,8,24,66,10,124
18,2,1,16,43,84,11,547
8,1,2,4,20,70,5,55
4,1,1,5,16,92,4,77
1,1,0,2,13,0,1,24
2,1,0,2,14,100,2,9
6,1,0,2,18,66,6,33
10,1,0,6,22,85,9,151
12,1,0,17,24,70,6,628
7,1,0,2,19,53,2,41
7,1,2,11,19,47,7,61
56,1,0,59,68,97,52,836
17,1,0,31,29,75,9,393
2,2,0,2,25,0,2,49
3,1,0,8,15,16,3,97
2,2,0,2,25,0,2,39
12,2,0,37,28,79,3,720
14,1,0,10,26,74,11,309
10,1,0,3,22,19,7,117
8,1,0,26,20,50,4,298
6,1,1,1,18,0,6,14
21,1,0,8,33,75,19,271
2,2,0,2,25,0,2,11
11,1,3,13,23,72,10,80
6,0,1,1,6,0,1,12
13,1,5,5,25,53,13,73
15,1,0,15,27,89,15,214
15,5,23,11,649,75,13,138
4,0,1,2,4,0,0,7
2,2,1,3,23,50,1,15
5,1,0,8,17,40,4,64
3,1,0,13,15,0,1,61
9,6,0,25,636,81,7,228
3,5,0,28,637,53,1,541
12,2,0,13,37,80,8,207
10,1,0,15,22,66,1,348
5,1,0,20,17,56,0,312
3,5,0,25,637,50,2,505
12,2,0,8,37,80,8,105
3,6,0,17,653,71,3,120
6,2,0,21,22,69,2,188
4,2,0,9,23,0,3,39
40,1,0,45,52,84,29,812
2,1,2,2,14,50,2,16
9,1,0,10,21,66,4,126
9,2,0,10,28,44,8,85
5,0,2,2,5,0,0,8
5,1,0,3,17,0,5,26
7,1,2,7,19,28,6,78
13,5,0,30,647,80,10,405
18,7,0,51,673,81,8,701
6,2,0,4,20,64,3,142
8,5,0,31,642,70,5,287
5,2,0,14,49,74,4,193
4,2,0,11,48,0,4,46
20,1,0,29,32,87,19,234
18,2,0,25,62,88,18,310
32,1,4,25,44,95,30,453
9,2,0,11,53,58,9,131
24,1,0,39,36,87,17,459
11,2,0,9,36,77,7,114
152,1,0,82,164,97,126,2620
7,1,13,3,19,42,7,45
9,1,5,12,21,77,9,101
17,1,0,31,29,80,15,451
6,1,0,34,18,70,2,284
4,1,0,8,16,12,3,63
5,1,0,31,17,30,3,123
7,2,0,13,32,71,7,97
20,5,0,36,654,77,15,443
14,5,0,34,840,78,12,372
45,5,0,63,679,94,34,1211
6,7,0,34,661,66,5,409
6,7,0,21,790,33,3,219
12,2,0,13,40,54,10,172
16,5,0,31,650,74,15,397
4,5,0,22,698,50,2,201
7,2,0,12,23,50,2,245
7,6,0,21,685,77,5,195
2,1,1,2,2,0,0,5
12,2,0,13,37,79,8,104
4,2,0,9,74,41,4,90
1,2,0,4,25,0,1,10
20,1,0,26,32,77,19,217
10,1,0,34,22,66,6,341
4,1,0,6,16,50,3,43
60,6,0,72,687,95,46,1061
23,1,0,25,35,89,20,576
6,5,0,30,640,63,0,306
2,5,0,20,636,37,1,216
9,6,0,39,636,80,8,277
10,1,0,23,22,63,7,272
8,1,0,22,20,12,7,168
6,1,0,13,18,16,0,119
16,1,2,6,28,78,9,490
239,4,0,75,862,96,214,4600
37,4,0,30,660,92,36,602
31,1,0,31,43,83,14,1389
2,0,1,2,2,0,0,149
2,1,1,1,2,0,0,5
2,1,0,4,14,0,0,23
26,1,0,19,38,75,0,504
51,4,0,35,674,95,48,634
4,1,7,2,16,0,4,28
0,1,0,1,12,0,0,25
4,2,0,3,23,81,4,26
4,2,0,3,23,70,4,31
5,2,0,4,24,90,5,40
1,2,0,1,20,0,1,7
3,2,0,2,22,0,3,19
3,2,0,1,22,0,3,17
5,2,0,3,24,80,5,34
1,2,0,1,20,0,1,7
1,2,0,1,20,0,1,7
1,2,0,1,20,0,1,7
2,2,0,1,21,0,2,11
4,2,0,3,23,81,4,26
3,6,0,5,652,33,3,102
6,8,0,5,678,83,4,55
7,6,0,28,656,71,1,277
3,6,0,5,652,33,2,80
3,6,0,8,652,33,3,73
3,6,0,10,652,33,3,149
3,6,0,7,652,33,1,62
3,6,0,12,652,42,1,115
3,6,0,12,652,33,3,125
4,6,0,6,653,28,1,165
3,6,0,11,652,33,1,176
6,6,0,36,655,66,1,238
4,6,0,26,653,52,1,281
5,6,0,12,654,80,1,56
3,6,0,18,652,48,1,178
5,6,0,22,654,60,1,135
4,6,0,18,653,40,1,148
4,6,0,21,653,50,1,179
6,8,0,10,678,66,4,86
5,6,0,11,654,70,3,63
6,6,0,16,655,40,1,332
1,0,16,1,1,0,0,4
15,1,0,9,27,66,2,123
124,1,0,125,136,95,91,2467
51,1,0,40,63,98,49,955
29,1,1,52,41,84,17,1045
2,1,0,13,14,0,1,49
4,1,0,22,16,50,4,251
14,2,0,18,45,64,13,288
9,5,0,30,594,81,3,436
9,6,0,14,636,83,9,105
2,1,0,4,14,33,2,204
17,7,2,38,672,83,10,513
12,6,0,27,662,86,7,353
5,7,0,28,660,56,4,117
3,7,0,27,658,40,3,238
11,2,0,17,30,76,11,200
4,4,0,13,627,33,3,52
3,6,0,5,745,0,3,127
5,7,0,21,660,75,4,167
1,0,4,0,1,0,0,4
12,5,0,33,646,80,12,572
9,2,0,4,46,70,9,68
6,7,0,26,661,66,3,302
6,6,0,19,656,66,4,108
1,6,0,16,651,0,1,86
7,7,1,22,662,0,6,75
6,5,0,29,640,64,3,425
7,1,0,18,19,60,7,322
4,5,0,12,638,50,3,129
8,6,1,13,750,75,8,101
33,5,0,48,667,85,28,1311
6,5,0,24,640,66,5,184
10,5,0,13,836,80,9,143
23,6,2,22,784,82,15,373
5,0,2,1,5,0,0,8
2,5,0,5,704,25,2,50
5,1,0,6,17,50,3,65
6,7,0,28,661,60,3,164
19,1,1,17,31,77,17,204
2,8,0,3,664,0,2,11
4,7,0,27,659,70,3,96
3,7,0,22,658,66,3,114
14,1,0,31,26,76,10,850
4,4,0,18,627,44,4,72
16,1,0,8,28,82,14,181
5,6,18,5,655,80,4,105
2,7,0,6,752,50,2,55
3,7,0,13,658,66,3,158
8,5,0,12,642,50,8,165
7,6,0,7,749,42,5,89
8,2,0,25,78,70,4,206
4,2,0,1,34,0,3,30
10,1,0,13,22,78,6,310
6,1,0,1,18,11,6,39
13,2,0,9,83,75,11,143
8,1,0,5,20,66,5,106
4,1,5,3,16,0,4,27
2,1,3,1,2,0,0,5
17,1,0,16,29,82,9,290
8,1,0,1,20,50,8,43
13,1,12,3,25,0,13,56
117,1,0,16,129,96,27,2373
13,0,1,2,13,0,13,28
5,3,0,1,42,60,5,30
3,1,0,11,15,75,1,62
