f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26
2,1,39,64,40,1,1,5,1,3,3,2,2,1,,3,3,42,7.5,2,2.3,1,5000,0,0,1
2,1,38.3,42,10,1,1,1,1,1,1,1,,,,,,38,61,,,1,0,0,0,2
2,1,38,52,16,,,,,2,,,,3,1,1,1,53,86,,,1,2322,0,0,2
2,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,2,3205,0,0,1
2,1,38.8,50,20,3,1,1,1,1,1,1,2,1,,3,1,42,6.2,,,1,0,0,0,2
2,1,,,,3,3,1,1,5,3,3,1,1,,4,5,38,6.5,,,2,3205,0,0,2
2,1,37.5,48,30,4,1,3,1,,2,1,1,1,,1,1,48,8.6,,,1,0,0,0,2
1,1,37.3,48,20,,1,2,1,3,3,3,2,1,,3,5,41,69,,,1,3205,0,0,2
2,1,,84,36,,,3,1,,3,1,2,1,,3,2,44,8.5,,,1,3111,0,0,2
1,1,38.1,88,32,3,3,4,1,2,3,3,,3,1,4,5,55,60,,,3,3205,0,0,2
2,1,37.7,44,40,2,1,3,1,1,3,2,1,1,,1,5,41,60,,,1,0,0,0,2
2,1,39.6,108,51,3,3,6,2,2,4,3,1,2,,3,5,59,8,2,2.6,1,4300,0,0,1
1,1,38.2,40,16,3,3,1,1,1,3,,,,,1,1,34,66,,,1,0,0,0,2
1,1,,60,20,4,3,4,2,5,4,,,1,,4,5,,,,,3,3205,0,0,2
2,1,38.3,40,16,3,,1,1,2,,,,,,,,37,57,,,1,0,0,0,2
1,9,38,140,68,1,1,1,1,3,3,2,,,,2,1,39,5.3,,,1,7111,0,0,2
1,1,37.8,52,24,1,3,3,1,4,4,1,2,3,5.7,2,5,48,6.6,1,3.7,2,5400,0,0,2
1,1,,70,36,1,,3,2,2,3,2,2,,,4,5,36,7.3,,,1,31110,0,0,2
1,1,38.3,52,96,,3,3,1,,,,1,1,,1,,43,6.1,,,1,3209,0,0,1
2,1,37.3,50,32,1,1,3,1,1,3,2,,,,1,,44,7,,,1,0,0,0,2
1,1,38.7,60,32,4,3,2,2,4,4,4,,,,4,5,53,64,3,2,3,3205,0,0,2
1,9,38.4,84,40,3,3,2,1,3,3,3,1,1,,,,36,6.6,2,2.8,2,2205,0,0,1
1,1,,70,16,3,4,5,2,2,3,2,2,1,,4,5,60,7.5,,,2,2112,0,0,2
1,1,38.3,40,16,3,,,1,1,3,2,,,,,,38,58,1,2,1,3111,7111,0,2
1,1,,40,,2,1,1,1,1,3,1,1,1,,,5,39,56,,,1,3111,0,0,2
1,1,36.8,60,28,,,,,,,,,,,,,,,,10,2,3205,0,0,1
1,1,38.4,44,24,3,,4,,5,4,3,2,1,,4,5,50,77,,,1,3205,0,0,2
2,1,,,40,3,1,1,1,3,3,2,,,,,,45,70,,,1,0,0,0,2
1,1,38,44,12,1,1,1,1,3,3,3,2,1,,4,5,42,65,,,1,3205,3111,0,2
2,1,39.5,,,3,3,4,2,3,4,3,,3,5.5,4,5,,6.7,1,,3,4205,0,0,2
1,1,36.5,78,30,1,,1,1,5,3,1,,1,,,,34,75,2,1,1,3112,6112,0,2
2,1,38.1,56,20,2,1,2,1,1,3,1,1,1,,,,46,70,,,1,0,0,0,2
1,1,39.4,54,66,1,1,2,1,2,3,2,1,1,,3,4,39,6,2,,1,2206,0,0,1
1,1,38.3,80,40,,,6,2,4,3,1,,2,,1,4,67,10.2,2,1,3,2208,0,0,2
2,1,38.7,40,28,2,1,1,1,3,1,1,,,,1,,39,62,1,1,1,0,0,0,2
1,1,38.2,64,24,1,1,3,1,4,4,3,2,1,,4,4,45,7.5,1,2,2,3205,0,0,1
2,1,37.6,48,20,3,1,4,1,1,1,3,2,1,,1,1,37,5.5,,,3,2205,0,0,2
1,1,38,42,68,4,1,1,1,3,3,2,2,2,,4,4,41,7.6,,,1,2205,0,0,2
1,1,38.7,,,3,1,3,1,5,4,2,,,,,,33,6.5,2,,1,31110,0,0,2
1,1,37.4,50,32,3,3,,1,4,4,1,2,1,,1,,45,7.9,2,1,1,2208,0,0,1
1,1,37.4,84,20,,,3,1,2,3,3,,,,,,31,61,,1,3,2208,0,0,2
1,1,38.4,49,,,,1,1,,,1,2,1,,,,44,7.6,,,1,2206,0,0,2
1,1,37.8,30,12,,,,,,,,,,,,,,,,,2,2113,0,0,2
2,1,37.6,88,36,3,1,1,1,3,3,2,1,3,1.5,,,44,6,,,2,1400,0,0,2
,1,38,48,20,3,1,3,1,4,3,1,2,1,,3,5,43,73,2,1,,3111,0,0,2
2,1,37.9,40,24,1,1,1,1,2,3,1,,,,,3,40,5.7,,,1,400,0,0,2
1,1,,100,,3,,4,2,5,4,,2,,,2,,59,6.3,,,2,4205,0,0,2
1,9,38.1,136,48,3,3,3,1,5,1,3,2,2,4.4,2,,33,4.9,2,2.9,2,2205,0,0,1
1,1,,,,3,3,3,2,5,3,3,3,2,,4,5,46,5.9,,,2,3025,0,0,2
1,1,38,48,,1,1,1,1,1,2,4,2,2,,4,5,,,,,1,3111,0,0,2
2,1,38,56,,1,2,3,1,1,1,1,1,1,,1,1,42,71,,,1,0,0,0,2
2,1,38,60,32,1,1,,1,3,3,,1,1,,,,50,7,1,1,1,0,0,0,2
1,1,38.1,44,9,3,1,1,1,2,2,1,1,1,,4,5,31,7.3,,,1,5124,0,0,2
2,1,36,42,30,,,5,1,,,,,,,,,64,6.8,,,2,1400,0,0,2
1,1,,120,,4,3,6,2,5,4,4,,,,4,5,57,4.5,3,3.9,2,3205,0,0,1
1,1,37.8,48,28,1,1,1,2,1,2,1,2,,,1,1,46,5.9,2,7,1,0,0,0,1
1,1,37.1,84,40,3,3,6,1,2,4,4,3,2,2,4,5,75,81,,,3,1400,0,0,2
2,1,,80,32,3,3,2,1,2,3,3,2,1,,3,,50,80,,,1,0,0,0,2
1,1,38.2,48,,1,3,3,1,3,4,4,1,3,2,4,5,42,71,,,1,3111,0,0,2
2,1,38,44,12,2,1,3,1,3,4,3,1,2,6.5,1,4,33,6.5,,,2,2209,0,0,2
1,1,38.3,132,,,3,6,2,2,4,2,2,3,6.2,4,4,57,8,,5.2,1,2112,0,0,1
2,1,38.7,48,24,,,,,1,1,,1,1,,1,,34,63,,,1,0,0,0,2
2,1,38.9,44,14,3,1,1,1,2,3,2,,,,,2,33,64,,,1,0,0,0,2
1,1,39.3,,,4,3,6,2,4,4,2,1,3,4,4,4,75,,3,4.3,2,2207,0,0,1
1,1,,100,,3,3,4,2,,4,4,2,1,2,,,68,64,3,2,1,2209,0,0,2
2,1,38.6,48,20,3,1,1,1,1,3,2,2,1,,3,2,50,7.3,1,,1,3111,0,0,1
2,1,38.8,48,40,1,1,3,1,3,3,4,2,,,,5,41,65,,,1,4124,0,0,2
2,1,38,48,20,3,3,4,1,1,4,2,2,,5,,2,49,8.3,1,,1,400,0,0,1
2,1,38.6,52,20,1,1,1,1,3,3,2,1,1,,1,3,36,6.6,1,5,1,0,0,0,1
1,1,37.8,60,24,1,,3,2,,4,4,2,3,2,,5,52,75,,,3,2205,0,0,2
2,1,38,42,40,3,1,1,1,3,3,1,,,,,,,,,,1,3111,0,0,2
2,1,,,12,1,1,2,1,2,1,2,3,1,,1,3,44,7.5,2,,1,0,0,0,1
1,1,,,,,,,,4,,,1,1,,,5,35,58,2,1,1,4205,0,0,2
1,1,38.3,42,24,,,,1,,,,,,,,,40,8.5,,,2,7113,0,0,2
2,1,39.5,60,10,3,,,2,3,3,2,2,1,,3,,38,56,1,,1,0,0,0,2
1,1,38,66,20,1,3,3,1,5,3,1,1,1,,3,,46,46,3,2,3,6209,0,0,2
1,1,38.7,76,,1,1,5,2,3,3,2,2,2,,4,4,50,8,,,1,2208,0,0,1
1,1,39.4,120,48,,,5,1,,3,3,1,,,4,,56,64,1,2,3,1400,0,0,2
1,1,38.3,40,18,1,1,1,1,3,1,1,,,,2,1,43,5.9,1,,1,0,0,0,1
2,1,,44,24,1,1,1,1,3,3,1,2,1,,,1,,6.3,,,1,3111,0,0,2
1,1,38.4,104,40,1,1,3,1,2,4,2,2,3,6.5,,4,55,8.5,,,1,2124,0,0,2
1,1,,65,24,,,,2,5,,4,3,1,,,5,,,,,3,3205,0,0,2
2,1,37.5,44,20,1,1,3,1,,1,1,,,,1,,35,7.2,,,1,0,0,0,2
2,1,39,86,16,3,3,5,,3,3,3,,2,,,,68,5.8,3,6,2,5400,0,0,1
1,1,38.5,129,48,3,3,3,1,2,4,3,1,3,2,,,57,66,3,2,1,2206,0,0,2
1,1,,104,,3,3,5,2,2,4,3,,3,,4,4,69,8.6,2,3.4,2,2207,0,0,1
2,1,,,,3,4,6,,4,,4,,,,,,,,,,2,3400,0,0,1
1,1,,,,,,,,,,,,,,,,,,,,1,2208,0,0,2
1,1,38.2,60,30,1,1,3,1,3,3,1,2,1,,3,2,48,66,,,1,6112,0,0,2
1,1,,68,14,,,4,1,4,,,,1,4.3,,,,,2,2.8,2,4205,0,0,1
1,1,,60,30,3,3,4,2,5,4,4,1,1,,4,,45,70,3,2,1,6111,3111,0,2
2,1,38.5,100,,3,3,5,2,4,3,4,2,1,,4,5,,,,,3,1111,0,0,1
1,1,38.4,84,30,3,1,5,2,4,3,3,2,3,6.5,4,4,47,7.5,3,,2,2300,0,0,2
2,1,37.8,48,14,,,1,1,3,,2,1,3,5.3,1,,35,7.5,,,1,3111,0,0,1
1,1,38,,24,3,3,6,2,5,,4,1,1,,,,68,7.8,,,2,2205,0,0,2
2,1,37.8,56,16,1,1,2,1,2,1,1,2,1,,1,,44,68,1,1,1,0,0,0,2
2,1,38.2,68,32,2,2,2,1,1,1,1,3,1,,1,1,43,65,,,1,0,0,0,2
1,1,38.5,120,60,4,3,6,2,,3,,,,,,,54,,,,1,5400,0,0,2
1,1,39.3,64,90,2,3,1,1,,3,1,1,2,,,,39,6.7,,,1,21110,0,0,2
1,1,38.4,80,30,4,3,1,1,3,3,3,3,3,,4,5,32,6.1,3,4.3,1,7209,0,0,1
1,1,38.5,60,,1,1,,1,,1,1,,,,,,33,53,1,,1,4111,0,0,2
1,1,38.3,60,16,3,1,1,1,2,1,1,2,2,3,1,4,30,6,1,3,1,31110,0,0,2
1,1,37.1,40,8,,1,4,1,3,3,1,1,1,,3,3,23,6.7,3,,1,3133,0,0,1
2,9,,100,44,2,1,1,1,4,1,1,,,,1,,37,4.7,,,1,7111,0,0,2
1,1,38.2,48,18,1,1,1,1,3,3,3,1,2,,4,,48,74,1,2,1,5111,0,0,2
1,1,,60,48,3,3,4,2,4,3,4,,,,,,58,7.6,,,2,3205,0,0,2
2,1,37.9,88,24,1,1,2,1,2,2,1,,,,4,1,37,56,,,1,0,0,0,2
2,1,38,44,12,3,1,1,,,1,2,,,,1,,42,64,,,1,0,0,0,2
2,1,38.5,60,20,1,1,5,2,2,2,1,2,1,,2,3,63,7.5,2,2.3,3,300,0,0,1
2,1,38.5,96,36,3,3,,2,2,4,2,1,2,,4,5,70,8.5,,,2,1400,0,0,1
2,1,38.3,60,20,1,1,1,2,1,3,1,,,,3,,34,66,,,1,0,0,0,2
2,1,38.5,60,40,3,1,2,1,2,1,2,,,,3,2,49,59,,,1,0,0,0,2
1,1,37.3,48,12,1,,3,1,3,1,3,2,1,,3,3,40,6.6,2,,1,3205,0,0,1
1,1,38.5,86,,1,1,3,1,4,4,3,2,1,,3,5,45,7.4,1,3.4,2,3209,0,0,1
1,1,37.5,48,40,,,,,,,,1,1,,,5,41,55,3,2,3,2208,0,0,2
2,1,37.2,36,9,1,1,1,1,2,3,1,2,1,,4,1,35,5.7,,,1,31110,0,0,2
1,1,39.2,,23,3,1,3,1,4,4,2,2,,,,,36,6.6,1,3,1,3115,0,0,1
2,1,38.5,100,,3,3,5,2,4,3,4,2,1,,4,5,,,,,3,4124,0,0,2
1,1,38.5,96,30,2,3,4,2,4,4,3,2,1,,3,5,50,65,,,1,6111,3112,0,2
1,1,,,,,,,,,,,,,,,,45,8.7,,,2,2208,0,0,2
1,1,37.8,88,80,3,3,5,2,,3,3,2,3,,4,5,64,89,,,3,3205,0,0,2
2,1,37.5,44,10,3,1,1,1,3,1,2,2,,,3,3,43,51,1,1,1,0,0,0,2
1,1,37.9,68,20,,1,2,1,2,4,2,,,,1,5,45,4,3,2.8,2,5400,0,0,1
1,1,38,86,24,4,3,4,1,2,4,4,1,1,,4,5,45,5.5,1,10.1,2,3111,0,0,1
1,9,38.9,120,30,1,3,2,2,3,3,3,3,1,3,,,47,6.3,1,,1,2124,0,0,2
1,1,37.6,45,12,3,1,3,1,,2,2,2,1,,1,4,39,7,2,1.5,1,2112,0,0,1
2,1,38.6,56,32,2,1,1,1,1,1,1,2,,,2,,40,7,2,2.1,1,0,0,0,1
1,1,37.8,40,12,1,1,1,1,1,2,1,2,1,,1,2,38,7,,,1,3111,0,0,2
2,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,2
1,1,38,76,18,,,,2,,,,,,,,,71,11,,,1,2209,0,0,1
1,1,38.1,40,36,1,2,2,1,2,2,,,,,,,,,,,3,3112,0,0,2
1,1,,52,28,3,3,4,1,3,4,3,2,1,,4,4,37,8.1,,,1,2111,0,0,2
1,1,39.2,88,58,4,4,,2,5,4,,,,,,,,,2,2,3,3205,0,0,2
1,1,38.5,92,40,4,3,,1,2,4,3,,,,4,,46,67,2,2,1,2208,0,0,2
1,1,,112,13,4,4,4,1,2,3,1,2,1,4.5,4,4,60,6.3,3,,1,2205,0,0,1
1,1,37.7,66,12,1,1,3,1,3,3,2,2,,,4,4,31.5,6.2,2,1.6,1,2208,0,0,1
1,1,38.8,50,14,1,1,1,1,3,1,1,1,1,,3,5,38,58,,,1,3111,0,0,2
2,1,38.4,54,24,1,1,1,1,1,3,1,2,1,,3,2,49,7.2,1,8,1,3111,0,0,1
1,1,39.2,120,20,4,3,5,2,2,3,3,1,3,,,4,60,8.8,3,,2,2205,0,0,2
1,9,,,,,,,,,,,,,,,,45,6.5,2,,1,9000,0,0,1
1,1,37.3,90,40,3,,6,2,5,4,3,2,2,,1,5,65,50,3,2,3,3205,0,0,2
1,9,38.5,120,70,,,,,,1,,2,,,1,,35,54,1,1,1,4205,3111,2209,2
1,1,38.5,104,40,3,3,,1,4,3,4,,,,,,,,,,1,2124,0,0,2
2,1,39.5,92,28,3,3,6,1,5,4,1,,3,,4,,72,6.4,,3.6,2,3300,0,0,2
1,1,38.5,30,18,,,,,,,,,,,,,40,7.7,,,1,2113,0,0,2
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,,3,5,43,7,2,3.9,1,3113,0,0,1
2,1,37.5,48,30,4,1,3,1,,2,1,1,1,,1,1,48,8.6,,,1,400,0,0,2
1,1,38.1,52,24,1,1,5,1,4,3,1,2,3,7,1,,54,7.5,2,2.6,2,2206,0,0,1
2,1,38.2,42,26,1,1,1,1,3,1,2,,,,1,,36,6.9,,,1,3111,0,0,2
2,1,37.9,54,42,2,1,5,1,3,1,1,,1,,,2,47,54,3,1,1,0,0,0,2
2,1,36.1,88,,3,3,3,1,3,3,2,2,3,,,4,45,7,3,4.8,3,2209,0,0,1
1,1,38.1,70,22,,1,,1,5,3,,,,,,5,36,65,,,3,3205,0,0,2
1,1,38,90,30,4,3,4,2,5,4,4,,,,4,5,55,6.1,,,2,3205,0,0,2
1,1,38.2,52,16,1,1,2,1,1,2,1,1,1,,1,,43,8.1,,,1,0,0,0,1
1,1,,36,32,1,1,4,1,5,3,3,2,3,4,,4,41,5.9,,,2,2205,0,0,2
1,1,38.4,92,20,1,,,2,,3,3,,,,1,,,,,,1,2208,0,0,1
1,9,38.2,124,88,1,3,2,1,2,3,4,,,,,,47,8,1,,1,9400,0,0,1
2,1,,96,,3,3,3,2,5,4,4,,1,,4,5,60,,,,2,41110,0,0,2
1,1,37.6,68,32,3,,3,1,4,2,4,2,2,6.5,1,5,47,7.2,1,,1,3209,0,0,2
1,1,38.1,88,24,3,3,4,1,5,4,3,2,1,,3,4,41,4.6,,,2,2209,0,0,2
1,1,38,108,60,2,3,4,1,4,3,3,2,,,3,4,,,3,,1,2205,0,0,2
2,1,38.2,48,,2,,1,2,3,3,1,2,1,,,2,34,6.6,,,1,3111,0,0,2
1,1,39.3,100,51,4,4,6,1,2,4,1,1,3,2,,4,66,13,3,2,3,2113,0,0,2
2,1,36.6,42,18,3,3,2,1,1,4,1,1,1,,,5,52,7.1,,,2,5111,0,0,2
1,9,38.8,124,36,3,1,2,1,2,3,4,1,1,,4,4,50,7.6,3,,2,2208,0,0,1
2,1,,112,24,3,3,4,2,5,4,2,,,,4,,40,5.3,3,2.6,1,400,0,0,1
1,1,,80,,3,3,3,1,4,4,4,,,,4,5,43,70,,,1,3111,0,0,2
1,9,38.8,184,84,1,,1,1,4,1,3,,,,2,,33,3.3,,,2,7111,0,0,2
1,1,37.5,72,,2,1,1,1,2,1,1,1,1,,1,,35,65,2,2,3,7209,0,0,2
1,1,38.7,96,28,3,3,4,1,,4,,,3,7.5,,,64,9,,,2,2205,0,0,1
2,1,37.5,52,12,1,1,1,1,2,3,2,2,1,,3,5,36,61,1,1,1,0,0,0,2
1,1,40.8,72,42,3,3,1,1,2,3,1,2,1,,,,54,7.4,3,,2,11400,0,0,1
2,1,38,40,25,,1,1,1,4,3,2,1,1,,4,,37,69,,,1,0,0,0,2
2,1,38.4,48,16,2,1,1,1,1,,2,2,1,,,2,39,6.5,,,1,3111,0,0,1
2,9,38.6,88,28,,,,,,,,,,,,,35,5.9,,,1,0,0,0,2
1,1,37.1,75,36,,,3,2,4,4,2,2,3,5,4,4,48,7.4,3,3.2,2,12208,0,0,1
1,1,38.3,44,21,3,1,2,1,3,3,3,2,1,,1,5,44,6.5,2,4.4,1,2209,0,0,1
2,1,,56,68,3,1,1,1,3,3,1,2,1,,1,,40,6,,,3,5206,0,0,2
2,1,38.6,68,20,2,1,3,1,3,3,2,1,1,,1,5,38,6.5,1,,1,5124,0,0,1
2,1,38.3,54,18,3,1,2,1,2,3,2,,3,5.4,,4,44,7.2,3,,1,2124,0,0,1
1,1,38.2,42,20,,,1,1,,3,,,,,3,,47,60,,,1,0,0,0,2
1,1,39.3,64,90,2,3,1,1,,3,1,1,2,6.5,1,5,39,6.7,,,1,31110,0,0,2
1,1,37.5,60,50,3,3,1,1,3,3,2,2,2,3.5,3,4,35,6.5,,,2,2209,0,0,2
1,1,37.7,80,,3,3,6,1,5,4,1,2,3,,3,1,50,55,3,2,1,4206,0,0,2
1,1,,100,30,3,3,4,2,5,4,4,3,3,,4,4,52,6.6,,,1,2124,0,0,2
1,1,37.7,120,28,3,3,3,1,5,3,3,1,1,,,,65,7,3,,2,4205,0,0,1
