f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
Casual,Average,0,M,Automn,o-neck,short,empire,polyster,null,applique,print
cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,null,chiffon,hollowout,solid
party,Average,5,M,Spring,o-neck,halfsleeve,natural,null,null,null,null
cute,Average,4.3,L,Winter,o-neck,sleevless,natural,null,chiffon,null,solid
Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,null,patchwork
Casual,Low,4.7,L,Automn,o-neck,full,null,cotton,chiffon,lace,print
Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid
sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid
work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid
vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,null
Sexy,Low,4.6,free,Spring,o-neck,full,natural,null,null,lace,leopard
Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,null,solid
work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork
Casual,Average,4.4,M,Summer,o-neck,short,empire,null,null,lace,patchwork
cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot
Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid
party,Average,4.4,free,Automn,v-neck,threequarter,natural,null,null,null,solid
Casual,Average,0,free,Spring,o-neck,short,null,cotton,null,lace,null
Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,null,lace,solid
Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,null,null,patchwork
work,Average,4.6,M,Spring,v-neck,full,null,null,chiffon,null,null
cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,null,lace,solid
bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,null,chiffon,null,solid
cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork
Casual,Average,0,XL,Winter,o-neck,short,empire,polyster,null,button,solid
Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,null,print
Casual,Low,4.7,M,Automn,o-neck,full,null,cotton,null,null,solid
cute,Average,4.3,free,Summer,boat-neck,sleevless,null,null,null,null,null
Sexy,Low,0,free,Automn,slash-neck,short,empire,null,null,hollowout,solid
cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print
Sexy,low,4.5,L,Spring,o-neck,sleevless,null,null,null,lace,solid
Casual,Average,4.7,M,Automn,o-neck,sleevless,null,cotton,null,null,animal
Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,lace,solid
cute,low,4.7,free,Summer,o-neck,sleevless,null,null,chiffon,null,print
Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid
Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,null,ruffles,solid
vintage,Average,4.3,free,winter,o-neck,short,null,chiffonfabric,chiffon,null,print
cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid
Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,null,solid
vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,null,plaid
Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid
vintage,High,0,L,Summer,o-neck,short,natural,cotton,null,null,print
Casual,low,0,free,Spring,v-neck,threequarter,null,silk,null,lace,null
Sexy,Average,0,S,Automn,slash-neck,short,natural,null,null,lace,solid
Casual,Low,0,free,Spring,o-neck,short,natural,null,null,hollowout,solid
cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,null,lace,solid
Casual,Low,4.7,free,Summer,o-neck,sleevless,null,null,null,null,print
Sexy,Low,4.8,free,Spring,v-neck,sleevless,null,null,null,sequined,solid
Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,null,bow,patchwork
vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print
Casual,Average,3.7,free,Automn,boat-neck,full,null,null,null,null,solid
vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork
cute,Average,0,XL,Spring,boat-neck,full,null,cotton,worsted,applique,dot
Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid
sexy,Medium,5,M,Winter,o-neck,sleevless,empire,polyster,null,bow,solid
Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,null,null,null,solid
Casual,High,4.9,S,Spring,o-neck,threequarter,natural,null,null,null,dot
Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,null,sashes,solid
Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid
Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric
Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid
Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,null,chiffon,button,striped
work,Average,0,S,Automn,o-neck,sleevless,natural,linen,null,null,patchwork
Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,null,null,leopard
cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print
Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork
Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,null,null,leopard
cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print
Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,null,null,solid
Sexy,low,4.7,M,Winter,slash-neck,sleevless,null,nylon,null,sashes,solid
Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,null,floral
Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork
Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid
bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,null,null,solid
Casual,Low,0,free,,o-neck,full,natural,cotton,null,null,patchwork
cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid
Sexy,Average,0,S,Automn,v-neck,sleevless,empire,cotton,null,beading,solid
Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,null,null,solid
vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,null,lace,solid
work,low,4.7,free,Summer,o-neck,full,empire,cotton,null,null,solid
cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,null,rivet,solid
cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,null,print
Casual,Average,4.7,M,winter,o-neck,full,null,null,null,null,animal
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid
party,Average,5,free,Summer,v-neck,sleevless,null,null,null,null,null
Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,null,patchwork
Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,null,lace,geometric
Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,null,embroidary,solid
Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,null,null,dot
Casual,Average,4.1,M,Automn,v-neck,full,null,null,chiffon,sashes,null
Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,null,null
Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid
work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,null,null,solid
Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,null,null,null,null,null
vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,null,worsted,null,solid
Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,null,solid
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,null,print
bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,null,sashes,print
Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,null,null,striped
Casual,Average,5,M,Winter,o-neck,sleevless,natural,null,chiffon,sashes,solid
Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped
work,low,4.5,M,Winter,v-neck,threequarter,null,null,null,null,patchwork
Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,null,lace,patchwork
Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,null,dobby,lace,animal
sexy,Low,4.3,M,Automn,open,short,natural,lace,null,lace,print
Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid
Casual,low,4.6,L,Winter,o-neck,full,null,cotton,null,null,null
Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,null,chiffon,sashes,solid
Casual,low,0,free,Automn,peterpan-collor,threequarter,empire,null,null,null,null
Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,null,chiffon,null,null
Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,null,null,solid
Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,null,null,print
Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,null,plaid
Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,null,solid
Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,null,sashes,print
Casual,Average,4.8,M,Automn,v-neck,short,null,null,chiffon,embroidary,print
Casual,Average,5,free,Summer,v-neck,sleevless,null,modal,null,null,patchwork
Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,null,null,print
Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,null,striped
Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,null,null
Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,null,null,print
cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid
Casual,low,4.8,free,Spring,o-neck,sleevless,null,chiffonfabric,chiffon,null,print
Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,null,applique,dot
bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,null,chiffon,ruffles,solid
Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,null,sashes,print
Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid
Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,null,null,solid
Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print
Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,null,patchwork
Casual,Average,3.5,M,winter,v-neck,short,natural,null,null,null,solid
Casual,Average,4.8,M,winter,o-neck,threequarter,natural,null,null,null,print
Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid
Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,null,sashes,striped
Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,null,broadcloth,null,print
Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,null,button,solid
Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,null,null,character
Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,null,solid
Casual,low,4.7,S,summer,o-neck,full,natural,cotton,null,null,patchwork
cute,Low,0,free,Summer,boat-neck,sleevless,null,cotton,null,null,print
party,very-high,5,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,null
Casual,Average,4.9,M,Automn,v-neck,sleevless,null,polyster,null,null,null
party,very-high,0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,null
party,very-high,0,M,Winter,v-neck,cap-sleeves,null,null,chiffon,lace,null
Casual,Low,4.4,M,Winter,v-neck,turndowncollor,null,cotton,null,null,null
party,very-high,0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,null
party,high,0,M,Winter,Sweetheart,sleevless,natural,null,null,pearls,null
party,high,0,M,Spring,Sweetheart,sleevless,null,nylon,null,null,null
party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,null,lace,null
party,high,4.7,M,Winter,sweetheart,sleeveless,natural,null,chiffon,flowers,null
party,,4.8,free,Winter,o-neck,sleevless,empire,null,null,embroidary,null
party,,4.5,L,Summer,,full,,,,,
party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,null,chiffon,beading,null
party,high,4.6,M,winter,Sweetheart,sleevless,natural,null,chiffon,null,null
party,Average,5,M,Spring,Sweetheart,sleevless,natural,polyster,null,null,null
party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,null
party,very-high,0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,null
party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,null
party,Average,4.8,L,,Sweetheart,sleevless,empire,null,null,pleat,null
party,Medium,4.6,S,Winter,Scoop,short,empire,null,null,crystal,null
party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,null
party,Medium,4.8,S,Spring,v-neck,sleevless,empire,null,null,null,null
party,very-high,4.2,L,Winter,v-neck,sleevless,null,null,null,lace,null
Casual,Low,4.4,free,Summer,o-neck,sleevless,null,null,null,null,null
party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,null
party,very-high,0,M,Winter,o-neck,full,natural,null,null,feathers,null
Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,null,null,beading,null
party,Average,4.7,free,Winter,o-neck,sleevless,null,polyster,null,null,null
party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,null
party,very-high,4.5,M,Spring,v-neck,cap-sleeves,null,null,null,lace,null
party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid
party,high,4.8,M,Summer,Sweetheart,sleevless,princess,null,sattin,null,null
party,high,4.6,M,Summer,slash-neck,sleevless,natural,null,chiffon,null,null
party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,null
cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid
party,Average,5,M,Spring,o-neck,sleevless,null,null,null,null,null
party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,null
party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,null
party,very-high,4.9,L,Spring,slash-neck,sleevless,null,null,chiffon,flowers,null
party,Medium,0,free,Winter,v-neck,short,empire,null,chiffon,lace,null
work,Average,5,free,Winter,o-neck,half,null,microfiber,null,null,null
party,very-high,4.9,M,Spring,v-neck,sleevless,empire,null,sattin,beading,null
Casual,high,5,free,Summer,v-neck,sleevless,natural,nylon,null,null,null
Casual,very-high,0,small,Spring,o-neck,full,null,null,chiffon,applique,null
Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,null,bow,null
party,Average,0,M,Spring,v-neck,sleevless,natural,null,null,null,null
Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,null,null,null
Casual,very-high,4.6,M,winter,o-neck,short,natural,null,null,flowers,null
Casual,Low,4.4,free,winter,halter,sleevless,natural,null,null,draped,null
party,high,4.5,M,winter,o-neck,sleevless,null,null,null,null,null
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,null,null,null,null
Sexy,Average,5,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,null
vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,null,null,null,null
vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,null,null,null
work,Average,4.9,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,null
Casual,low,4.7,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,null,null
Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,null,null,null
Sexy,low,4.7,free,Spring,v-neck,sleeveless,null,null,null,sequined,null
Casual,Average,0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,null,null
Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork
Novelty,Average,0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid
Casual,Low,4.3,free,Summer,backless,sleevless,empire,chiffonfabric,chiffon,crystal,null
Casual,Average,3.7,M,Summer,boat-neck,sleevless,natural,linen,null,null,null
Casual,Average,5,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,null
Sexy,low,5,free,Spring,v-neck,sleevless,empire,null,chiffon,null,null
cute,Low,0,free,Winter,o-neck,sleevless,natural,null,chiffon,null,null
vintage,Average,4.8,M,Summer,v-neck,full,natural,rayon,poplin,null,null
bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,null,solid
bohemian,Average,0,free,Spring,o-neck,sleevless,natural,rayon,chiffon,null,striped
Sexy,Average,4.5,M,Summer,bowneck,sleevless,null,cotton,chiffon,null,solid
Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal
Casual,Low,5,free,Spring,v-neck,full,natural,cotton,null,null,solid
Casual,Average,5,L,Winter,o-neck,thressqatar,natural,polyster,null,applique,solid
Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,null,null,print
bohemian,Low,5,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print
Casual,low,5,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print
Casual,Low,5,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,null,solid
cute,Average,4.3,M,Summer,NULL,NULL,natural,cotton,chiffon,null,solid
Novelty,Average,0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,null
cute,low,0,L,Spring,o-neck,sleevless,empire,null,null,null,null
Sexy,Low,4.8,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid
Sexy,Low,4.8,free,Summer,slash-neck,sleevless,empire,silk,null,lace,solid
Casual,Low,4.4,M,Winter,o-neck,sleevless,natural,polyster,null,null,solid
Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped
Casual,Low,4.7,S,Summer,o-neck,full,natural,cotton,null,null,patchwork
Casual,low,4.4,free,Spring,o-neck,sleevless,natural,polyster,null,sashes,print
work,Average,4.9,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid
cute,Medium,4.6,free,Spring,o-neck,short,natural,chiffonfabric,null,hollowout,solid
Casual,Low,4.7,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print
Casual,Low,4.7,M,Winter,o-neck,full,empire,polyster,chiffon,null,print
Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print
